COMUNE,data,positivi
Contessa Entellina,2020-10-31,16
Corleone,2020-10-31,21
Ficarazzi,2020-10-31,43
Gangi,2020-10-31,4
Geraci Siculo,2020-10-31,0
Giardinello,2020-10-31,1
Giuliana,2020-10-31,4
Godrano,2020-10-31,2
Gratteri,2020-10-31,1
Isnello,2020-10-31,3
Isola delle Femmine,2020-10-31,28
Lascari,2020-10-31,22
Lercara Friddi,2020-10-31,12
Marineo,2020-10-31,19
Mezzojuso,2020-10-31,53
Misilmeri,2020-10-31,96
Monreale,2020-10-31,53
Montelepre,2020-10-31,10
Montemaggiore Belsito,2020-10-31,96
Palazzo Adriano,2020-10-31,8
Palermo,2020-10-31,3085
Partinico,2020-10-31,137
Petralia Soprana,2020-10-31,3
Petralia Sottana,2020-10-31,0
Piana degli Albanesi,2020-10-31,
Polizzi Generosa,2020-10-31,3
Pollina,2020-10-31,5
Prizzi,2020-10-31,0
Roccamena,2020-10-31,6
Roccapalumba,2020-10-31,0
San Cipirello,2020-10-31,26
San Giuseppe Jato,2020-10-31,38
San Mauro Castelverde,2020-10-31,0
Santa Cristina Gela,2020-10-31,
Santa Flavia,2020-10-31,28
Sciara,2020-10-31,0
Scillato,2020-10-31,0
Sclafani Bagni,2020-10-31,0
Termini Imerese,2020-10-31,56
Terrasini,2020-10-31,19
Torretta,2020-10-31,54
Trabia,2020-10-31,31
Trappeto,2020-10-31,2
Ustica,2020-10-31,
Valledolmo,2020-10-31,0
Ventimiglia di Sicilia,2020-10-31,0
Vicari,2020-10-31,5
Villabate,2020-10-31,41
Villafrati,2020-10-31,23
Alia,2020-11-02,4
Alimena,2020-11-02,29
Aliminusa,2020-11-02,4
Altavilla Milicia,2020-11-02,26
Altofonte,2020-11-02,32
Bagheria,2020-11-02,182
Balestrate,2020-11-02,9
Baucina,2020-11-02,19
Belmonte Mezzagno,2020-11-02,14
Bisacquino,2020-11-02,36
Blufi,2020-11-02,0
Bolognetta,2020-11-02,34
Bompietro,2020-11-02,6
Borgetto,2020-11-02,10
Caccamo,2020-11-02,15
Caltavuturo,2020-11-02,1
Campofelice di Fitalia,2020-11-02,0
Campofelice di Roccella,2020-11-02,5
Campofiorito,2020-11-02,2
Camporeale,2020-11-02,2
Capaci,2020-11-02,19
Carini,2020-11-02,101
Castelbuono,2020-11-02,0
Casteldaccia,2020-11-02,20
Castellana Sicula,2020-11-02,2
Castronovo di Sicilia,2020-11-02,2
Cefalà  Diana,2020-11-02,14
Cefaù,2020-11-02,29
Cerda,2020-11-02,21
Chiusa Sclafani,2020-11-02,17
Ciminna,2020-11-02,28
Cinisi,2020-11-02,8
Collesano,2020-11-02,2
Contessa Entellina,2020-11-02,17
Corleone,2020-11-02,21
Ficarazzi,2020-11-02,67
Gangi,2020-11-02,4
Geraci Siculo,2020-11-02,0
Giardinello,2020-11-02,1
Giuliana,2020-11-02,5
Godrano,2020-11-02,2
Gratteri,2020-11-02,0
Isnello,2020-11-02,3
Isola delle Femmine,2020-11-02,28
Lascari,2020-11-02,14
Lercara Friddi,2020-11-02,9
Marineo,2020-11-02,41
Mezzojuso,2020-11-02,53
Misilmeri,2020-11-02,96
Monreale,2020-11-02,53
Montelepre,2020-11-02,10
Montemaggiore Belsito,2020-11-02,18
Palazzo Adriano,2020-11-02,17
Palermo,2020-11-02,3533
Partinico,2020-11-02,153
Petralia Soprana,2020-11-02,3
Petralia Sottana,2020-11-02,0
Piana degli Albanesi,2020-11-02,
Polizzi Generosa,2020-11-02,3
Pollina,2020-11-02,4
Prizzi,2020-11-02,3
Roccamena,2020-11-02,6
Roccapalumba,2020-11-02,0
San Cipirello,2020-11-02,26
San Giuseppe Jato,2020-11-02,41
San Mauro Castelverde,2020-11-02,0
Santa Cristina Gela,2020-11-02,
Santa Flavia,2020-11-02,32
Sciara,2020-11-02,0
Scillato,2020-11-02,0
Sclafani Bagni,2020-11-02,0
Termini Imerese,2020-11-02,56
Terrasini,2020-11-02,19
Torretta,2020-11-02,54
Trabia,2020-11-02,31
Trappeto,2020-11-02,2
Ustica,2020-11-02,
Valledolmo,2020-11-02,0
Ventimiglia di Sicilia,2020-11-02,0
Vicari,2020-11-02,6
Villabate,2020-11-02,41
Villafrati,2020-11-02,27
