Pro Com,Distretto,COMUNE,Residenti al 31/12/2019,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31
82050,Partinico,Montelepre,6015,3,3,3,5,11,11,,11,11,10,10,10,10,,10,10,11,17,,17,,22,24,26,28,20,20,,20,20,20,33,33,,33,35,35,35,36,36,36,,36,36,36,,36,36,,36,,34,34,34,34,,34,,34,34,18,18,,18,18,18,,,18,,,18,18,14
82051,Termini Imerese,Montemaggiore Belsito,3151,57,50,50,50,50,104,,104,104,104,104,104,96,,18,18,18,18,,18,,18,18,18,18,18,18,,18,18,18,18,18,,18,18,18,18,18,18,18,,18,18,18,,18,18,,18,,18,18,18,18,,18,,18,18,18,18,,18,18,18,,,18,,,18,18,18
82052,Lercara Friddi,Palazzo Adriano,1928,0,0,0,0,0,0,,0,3,3,6,6,8,,17,20,20,20,,20,,22,22,22,22,20,20,,20,20,18,15,17,,17,11,11,9,9,9,9,,7,7,7,,7,7,,7,,7,6,6,6,,6,,4,1,1,1,,1,1,1,,,1,,,1,1,2
82053,Palermo,Palermo,657960,1437,1477,1577,1777,1881,1967,,2180,2415,2566,2682,2853,3085,,3533,3633,3832,3931,,4209,,4147,4147,4567,4815,5169,5516,,5905,6229,6482,6854,7121,,7748,8013,7713,7799,8005,8388,8680,,9255,9497,9743,,9086,9169,,9278,,9515,9406,9214,9175,,9387,,9269,9312,9299,9201,,9514,9323,9292,,,8962,,,9165,9180,9202
82054,Partinico,Partinico,31569,54,70,70,78,90,90,,90,90,122,122,131,137,,153,153,159,162,,162,,187,202,183,186,169,172,,172,172,172,135,135,,135,148,148,148,152,174,174,,166,161,161,,179,179,,179,,155,155,150,150,,150,,150,150,140,140,,140,140,140,,,140,,,140,140,110
82055,Petralia Sottana,Petralia Soprana,3120,0,0,0,0,0,0,,1,2,2,2,2,3,,3,4,4,4,,4,,4,6,8,9,9,9,,6,6,6,6,6,,6,6,6,6,6,6,6,,6,6,2,,2,1,,1,,1,1,1,1,,1,,0,1,1,1,,1,1,1,,,1,,,4,9,9
82056,Petralia Sottana,Petralia Sottana,2593,1,1,1,1,1,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,0,0,1,,1,1,,1,,1,1,1,1,,1,,1,1,2,2,,2,1,2,,,2,,,3,3,3
82057,Palermo,Piana degli Albanesi,5924,,,,,,,,,,,,,,,,,,27,,27,,22,22,30,30,44,44,,44,44,44,35,40,,40,25,25,25,25,25,25,,25,25,25,,25,25,,25,,25,25,25,25,,25,,25,1,1,1,,1,1,1,,,1,,,1,1,1
82058,Petralia Sottana,Polizzi Generosa,3112,2,2,2,2,2,2,,0,0,0,0,3,3,,3,7,7,10,,10,,10,12,12,13,13,10,,9,9,9,9,8,,5,5,5,6,5,5,5,,3,3,3,,3,3,,3,,3,1,1,1,,0,,0,1,2,3,,3,7,7,,,8,,,12,13,17
82059,Cefalù,Pollina,2891,0,0,0,0,0,0,,1,5,5,5,5,5,,4,4,4,4,,4,,5,5,5,6,6,6,,6,6,6,6,1,,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,,1,1,1,1,,1,,1,1,1,1,,0,0,0,,,0,,,0,0,0
82060,Lercara Friddi,Prizzi,4508,0,0,0,0,0,0,,0,0,0,0,0,0,,3,4,4,5,,5,,5,6,6,6,6,6,,6,6,7,9,9,,9,9,9,11,11,11,11,,11,11,11,,11,11,,11,,11,9,6,6,,6,,6,6,6,6,,6,6,5,,,5,,,5,5,4
82061,Corleone,Roccamena,1429,0,0,1,1,1,1,,3,6,6,6,6,6,,6,6,6,6,,6,,6,6,5,5,5,5,,5,5,4,4,4,,4,4,4,4,4,3,3,,3,3,3,,3,3,,3,,0,0,1,1,,1,,1,1,1,1,,1,1,1,,,1,,,3,3,3
82062,Lercara Friddi,Roccapalumba,2385,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,1,4,6,,6,8,8,8,8,8,8,,11,11,11,,11,11,,11,,11,8,8,8,,8,,6,4,4,4,,4,4,5,,,5,,,5,5,19
82063,Partinico,San Cipirello,5212,42,37,37,37,36,36,,36,36,26,26,26,26,,26,32,32,32,,32,,26,29,25,25,18,26,,31,31,31,20,20,,20,20,20,20,23,23,23,,23,19,19,,19,19,,19,,22,22,22,22,,22,,22,22,10,10,,10,10,10,,,10,,,10,10,15
82064,Partinico,San Giuseppe Jato,8375,67,61,61,61,58,58,,58,58,38,38,38,38,,41,45,45,47,,47,,41,44,41,41,28,40,,40,40,40,24,24,,24,24,24,24,27,27,27,,25,18,18,,18,18,,18,,29,29,29,29,,29,,29,29,22,22,,22,22,22,,,22,,,22,22,20
82065,Cefalù,San Mauro Castelverde,1470,0,0,0,0,0,0,,1,1,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,1,,1,1,1,,1,1,,1,,0,0,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,0,0
82066,Palermo,Santa Cristina Gela,997,,,,,,,,,,,,,,,,,,2,,2,,2,2,3,3,3,3,,3,3,5,5,5,,5,5,5,5,5,5,5,,5,5,5,,5,5,,5,,5,5,1,1,,1,,1,1,1,1,,1,1,1,,,1,,,1,1,1
82067,Bagheria,Santa Flavia,11181,6,6,6,12,13,13,,17,18,18,25,27,28,,32,37,45,45,,48,,52,54,54,61,55,55,,65,68,68,71,84,,87,87,78,77,87,87,89,,89,89,87,,95,92,,95,,103,99,95,102,,102,,103,103,106,106,,98,98,94,,,99,,,104,104,119
82068,Termini Imerese,Sciara,2674,4,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,2,2
82081,Termini Imerese,Scillato,613,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,0,0
82069,Termini Imerese,Sclafani Bagni,397,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,0,0
82070,Termini Imerese,Termini Imerese,25889,24,28,28,33,33,46,,48,50,50,50,50,56,,56,56,82,82,,82,,82,111,111,107,115,115,,107,107,98,98,98,,103,103,101,99,99,99,99,,97,97,97,,97,97,,97,,97,97,97,97,,97,,97,97,73,73,,73,73,73,,,73,,,73,73,73
82071,Carini,Terrasini,12676,6,9,11,11,11,11,,15,15,18,18,18,19,,19,21,22,22,,22,,22,25,25,25,16,16,,16,25,25,25,25,,25,25,26,26,26,26,23,,23,23,23,,23,23,,23,,41,41,41,41,,41,,20,20,32,32,,32,32,32,,,32,,,32,32,32
82072,Carini,Torretta,4319,13,13,20,50,49,49,,55,55,55,55,55,54,,54,54,57,57,,57,,57,70,70,80,64,64,,64,62,62,62,62,,62,62,55,55,55,55,10,,10,6,6,,6,6,,6,,10,10,10,10,,10,,13,13,9,9,,9,9,9,,,9,,,9,9,9
82073,Termini Imerese,Trabia,10396,11,12,12,12,12,12,,12,12,12,12,12,31,,31,31,41,41,,42,,42,44,44,45,45,41,,37,37,37,37,37,,37,37,34,34,34,34,38,,38,38,38,,41,41,,41,,58,58,56,56,,51,,51,51,44,44,,35,35,35,,,35,,,35,29,29
82074,Partinico,Trappeto,3102,0,0,0,0,0,0,,0,0,2,2,2,2,,2,4,4,4,,4,,4,4,4,4,4,4,,0,0,0,1,1,,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,,1,1,1,1,,1,,1,1,5,5,,4,4,4,,,4,,,4,4,2
82075,,Ustica,1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82076,Lercara Friddi,Valledolmo,3400,0,0,0,0,0,0,,0,0,0,0,0,0,,0,1,1,1,,1,,1,1,1,1,1,1,,1,1,1,1,4,,4,4,4,4,4,4,4,,3,3,3,,3,3,,3,,3,3,3,3,,3,,2,1,1,1,,1,1,1,,,1,,,1,1,0
